Freq,Power,Theor.AR(1),chi2 80%,chi2 90%,chi2 95%,chi2 99%,chi2 crit.
0.025777,5.2642,1.9564,3.0063,4.0138,4.9887,7.181,10.616
0.025927,5.6162,1.9404,2.9816,3.9808,4.9477,7.122,10.529
0.026077,4.8337,1.9245,2.9572,3.9482,4.9072,7.0637,10.443
0.026227,3.8293,1.9087,2.933,3.916,4.8671,7.006,10.358
0.026376,3.125,1.8932,2.9091,3.8841,4.8274,6.9489,10.273
0.026526,3.0726,1.8778,2.8855,3.8525,4.7882,6.8924,10.19
0.026676,2.8736,1.8626,2.8621,3.8213,4.7494,6.8366,10.107
0.026826,2.207,1.8476,2.839,3.7904,4.7111,6.7814,10.026
0.026976,1.441,1.8327,2.8161,3.7599,4.6731,6.7267,9.9448
0.027126,1.3128,1.818,2.7935,3.7297,4.6356,6.6727,9.8649
0.027276,1.662,1.8034,2.7711,3.6998,4.5984,6.6193,9.7859
0.027425,2.3749,1.789,2.749,3.6703,4.5617,6.5664,9.7078
0.027575,2.1534,1.7747,2.7271,3.641,4.5254,6.5141,9.6304
0.027725,1.2112,1.7606,2.7054,3.6121,4.4894,6.4624,9.554
0.027875,0.48918,1.7467,2.684,3.5835,4.4539,6.4112,9.4783
0.028025,0.59929,1.7329,2.6628,3.5552,4.4187,6.3606,9.4035
0.028175,1.9495,1.7193,2.6418,3.5272,4.3839,6.3105,9.3294
0.028325,3.6946,1.7058,2.6211,3.4995,4.3495,6.2609,9.2562
0.028475,4.0659,1.6924,2.6006,3.4722,4.3155,6.2119,9.1837
0.028624,3.5946,1.6792,2.5803,3.4451,4.2818,6.1635,9.1121
0.028774,1.9397,1.6661,2.5602,3.4182,4.2485,6.1155,9.0412
0.028924,0.79728,1.6532,2.5403,3.3917,4.2155,6.068,8.971
0.029074,0.80217,1.6404,2.5207,3.3655,4.1829,6.0211,8.9016
0.029224,1.5486,1.6278,2.5012,3.3395,4.1506,5.9747,8.833
0.029374,2.938,1.6153,2.482,3.3138,4.1187,5.9287,8.765
0.029524,3.7536,1.6029,2.463,3.2884,4.0871,5.8832,8.6978
0.029673,3.6603,1.5906,2.4441,3.2633,4.0559,5.8383,8.6313
0.029823,2.818,1.5785,2.4255,3.2384,4.025,5.7938,8.5655
0.029973,1.4639,1.5665,2.4071,3.2138,3.9944,5.7497,8.5004
0.030123,0.70215,1.5546,2.3888,3.1894,3.9641,5.7062,8.436
0.030273,0.61494,1.5429,2.3708,3.1654,3.9342,5.6631,8.3723
0.030423,1.257,1.5313,2.3529,3.1415,3.9045,5.6204,8.3092
0.030573,1.7618,1.5198,2.3353,3.1179,3.8752,5.5782,8.2468
0.030723,1.5731,1.5084,2.3178,3.0946,3.8462,5.5364,8.1851
0.030872,1.0161,1.4971,2.3005,3.0715,3.8175,5.4951,8.1239
0.031022,0.77151,1.486,2.2834,3.0486,3.7891,5.4542,8.0635
0.031172,1.3955,1.4749,2.2664,3.026,3.7609,5.4137,8.0036
0.031322,3.0605,1.464,2.2496,3.0036,3.7331,5.3737,7.9444
0.031472,4.0612,1.4532,2.233,2.9814,3.7056,5.334,7.8858
0.031622,4.559,1.4425,2.2166,2.9595,3.6783,5.2948,7.8278
0.031772,3.7617,1.432,2.2004,2.9378,3.6514,5.256,7.7704
0.031921,2.8941,1.4215,2.1843,2.9163,3.6247,5.2175,7.7136
0.032071,2.4568,1.4111,2.1684,2.8951,3.5982,5.1795,7.6574
0.032221,2.2866,1.4009,2.1526,2.874,3.5721,5.1419,7.6018
0.032371,2.103,1.3907,2.137,2.8532,3.5462,5.1046,7.5467
0.032521,1.7416,1.3807,2.1216,2.8326,3.5206,5.0678,7.4922
0.032671,1.3589,1.3708,2.1063,2.8122,3.4953,5.0313,7.4382
0.032821,1.613,1.3609,2.0912,2.792,3.4702,4.9952,7.3848
0.032971,2.7292,1.3512,2.0762,2.772,3.4453,4.9594,7.332
0.03312,3.7607,1.3415,2.0614,2.7523,3.4207,4.924,7.2797
0.03327,4.6195,1.332,2.0467,2.7327,3.3964,4.889,7.2279
0.03342,4.4722,1.3225,2.0322,2.7133,3.3723,4.8543,7.1766
0.03357,3.4102,1.3132,2.0178,2.6941,3.3485,4.82,7.1259
0.03372,2.3249,1.3039,2.0036,2.6751,3.3249,4.786,7.0756
0.03387,0.95512,1.2948,1.9895,2.6563,3.3015,4.7524,7.0259
0.03402,0.31185,1.2857,1.9756,2.6377,3.2784,4.7191,6.9767
0.034169,0.20496,1.2767,1.9618,2.6193,3.2555,4.6861,6.9279
0.034319,0.58362,1.2678,1.9481,2.601,3.2328,4.6534,6.8797
0.034469,1.3318,1.259,1.9346,2.583,3.2103,4.6211,6.8319
0.034619,2.1754,1.2503,1.9212,2.5651,3.1881,4.5891,6.7846
0.034769,2.5317,1.2417,1.9079,2.5474,3.1661,4.5575,6.7378
0.034919,2.8177,1.2331,1.8948,2.5299,3.1443,4.5261,6.6914
0.035069,2.4703,1.2247,1.8818,2.5125,3.1227,4.495,6.6455
0.035219,1.9126,1.2163,1.8689,2.4953,3.1014,4.4643,6.6
0.035368,1.3603,1.208,1.8562,2.4783,3.0802,4.4339,6.555
0.035518,0.98343,1.1998,1.8436,2.4614,3.0593,4.4037,6.5104
0.035668,1.2213,1.1916,1.8311,2.4448,3.0385,4.3739,6.4663
0.035818,1.6583,1.1836,1.8187,2.4282,3.018,4.3443,6.4226
0.035968,1.9814,1.1756,1.8065,2.4119,2.9977,4.315,6.3793
0.036118,1.7882,1.1677,1.7943,2.3957,2.9775,4.286,6.3365
0.036268,1.4619,1.1599,1.7823,2.3796,2.9576,4.2573,6.2941
0.036417,1.3999,1.1521,1.7704,2.3637,2.9378,4.2289,6.252
0.036567,1.9684,1.1445,1.7586,2.348,2.9183,4.2008,6.2104
0.036717,2.8386,1.1369,1.7469,2.3324,2.8989,4.1729,6.1692
0.036867,3.1919,1.1294,1.7354,2.317,2.8797,4.1453,6.1284
0.037017,2.8865,1.1219,1.7239,2.3017,2.8607,4.1179,6.0879
0.037167,2.054,1.1145,1.7126,2.2866,2.8419,4.0908,6.0479
0.037317,1.4589,1.1072,1.7014,2.2716,2.8233,4.064,6.0082
0.037466,1.3923,1.1,1.6902,2.2567,2.8048,4.0374,5.969
0.037616,1.6805,1.0928,1.6792,2.242,2.7865,4.0111,5.93
0.037766,1.8972,1.0857,1.6683,2.2274,2.7684,3.9851,5.8915
0.037916,1.6658,1.0787,1.6575,2.213,2.7505,3.9592,5.8533
0.038066,1.3434,1.0717,1.6468,2.1987,2.7327,3.9337,5.8155
0.038216,0.66205,1.0648,1.6362,2.1845,2.7151,3.9083,5.7781
0.038366,0.38808,1.058,1.6257,2.1705,2.6977,3.8832,5.741
0.038516,0.048306,1.0512,1.6153,2.1566,2.6804,3.8584,5.7042
0.038665,0.016515,1.0445,1.605,2.1429,2.6633,3.8337,5.6678
0.038815,0.16047,1.0378,1.5947,2.1292,2.6464,3.8093,5.6317
0.038965,0.29419,1.0313,1.5846,2.1157,2.6296,3.7852,5.596
0.039115,0.30028,1.0247,1.5746,2.1023,2.6129,3.7612,5.5606
0.039265,0.25427,1.0183,1.5647,2.0891,2.5965,3.7375,5.5255
0.039415,0.30932,1.0119,1.5548,2.0759,2.5801,3.714,5.4908
0.039565,0.68153,1.0055,1.5451,2.0629,2.564,3.6907,5.4563
0.039714,1.5364,0.99923,1.5354,2.05,2.5479,3.6676,5.4222
0.039864,2.047,0.993,1.5259,2.0372,2.532,3.6448,5.3884
0.040014,2.4226,0.98683,1.5164,2.0246,2.5163,3.6221,5.3549
0.040164,2.16,0.98072,1.507,2.012,2.5007,3.5997,5.3218
0.040314,1.8076,0.97466,1.4977,1.9996,2.4853,3.5774,5.2889
0.040464,1.5408,0.96865,1.4884,1.9873,2.47,3.5554,5.2563
0.040614,1.5456,0.96271,1.4793,1.9751,2.4548,3.5336,5.224
0.040764,1.5511,0.95681,1.4702,1.963,2.4398,3.5119,5.192
0.040913,1.7218,0.95097,1.4613,1.951,2.4249,3.4905,5.1603
0.041063,1.7036,0.94518,1.4524,1.9391,2.4101,3.4692,5.1289
0.041213,1.4387,0.93944,1.4436,1.9274,2.3955,3.4482,5.0978
0.041363,1.2062,0.93376,1.4348,1.9157,2.381,3.4273,5.067
