:			-	-	-	-	-	-	
			A	B	C	D	E	F	
Black	Dot	281	0.02485	0.39964	1.66057	4.41		0.343801341314248	
Black	Dot	282	0.02541	0.40128	1.39919	4.66		0.594615148646945	
Black	Dot	283	0.026	0.40301	1.13199	5.01		0.945428955979643	
Black	Dot	284	0.02666	0.40478	0.86538	5.01		0.94624276331234	
Black	Dot	285	0.02723	0.40656	0.5963	4.96		0.897056570645038	
Black	Dot	286	0.02783	0.40831	0.32549	4.81		0.747870377977735	
Black	Dot	287	0.02848	0.41	0.05648	4.75		0.688684185310433	
Black	Dot	288	0.02904	0.41161	6.06576	4.75		0.689497992643131	
Black	Dot	289	0.02964	0.4131	5.79333	4.74		0.680311799975828	
Black	Dot	290	0.03019	0.41445	5.52193	4.69		0.631125607308526	
Black	Dot	291	0.03077	0.41564	5.24606	4.49		0.431939414641224	
Black	Dot	292	0.03128	0.41665	4.97201	4.35		0.292753221973921	
Black	Dot	293	0.03177	0.41746	4.69868	4.17		0.113567029306618	
Black	Dot	294	0.0323	0.41805	4.42152	4.17		0.114380836639316	
Black	Dot	295	0.03273	0.41842	4.14714	4.28		0.225194643972014	
Black	Dot	296	0.03315	0.41854	3.86987	4.46		0.406008451304711	
Black	Dot	297	0.03358	0.41841	3.59416	4.58		0.526822258637409	
Black	Dot	298	0.03396	0.41803	3.3159	4.51		0.457636065970106	
Black	Dot	299	0.03427	0.41739	3.03781	4.39		0.338449873302804	
Black	Dot	300	0.03464	0.4165	2.75998	4.26		0.209263680635501	
Black	Dot	301	0.03489	0.41537	2.47978	4.24		0.190077487968199	
Black	Dot	302	0.03519	0.41402	2.19909	4.19		0.140891295300897	
Black	Dot	303	0.0354	0.41248	1.91835	4.18		0.131705102633594	
Black	Dot	304	0.03562	0.41077	1.6359	4.02		-0.0274810900337087	
Black	Dot	305	0.03583	0.40893	1.35141	3.83		-0.216667282701011	
Black	Dot	306	0.03593	0.407	1.06733	3.74		-0.305853475368313	
Black	Dot	307	0.03609	0.40503	0.78116	3.63		-0.415039668035616	
Black	Dot	308	0.03623	0.40306	0.49345	3.43		-0.614225860702918	
Black	Dot	309	0.03624	0.40115	0.20447	3.47		-0.57341205337022	
Black	Dot	310	0.03638	0.39935	6.19847	3.58		-0.462598246037523	
Black	Dot	311	0.0364	0.39771	5.90724	3.71		-0.331784438704825	
Black	Dot	312	0.03642	0.39629	5.61467	4.22		0.179029368627872	
Black	Dot	313	0.03644	0.39513	5.32199	4.52		0.479843175960569	
Black	Dot	314	0.03641	0.39428	5.02935	4.44		0.400656983293268	
Black	Dot	315	0.03641	0.39377	4.73284	4.24		0.201470790625965	
Black	Dot	316	0.03632	0.39363	4.44027	4.2		0.162284597958663	
Black	Dot	317	0.03626	0.39387	4.14431	4.09		0.05309840529136	
Black	Dot	318	0.03619	0.39451	3.84956	4.12		0.0839122126240578	
Black	Dot	319	0.03604	0.39553	3.55497	4.17		0.134726019956755	
Black	Dot	320	0.03591	0.3969	3.26013	4.06		0.0255398272894525	
Black	Dot	321	0.03581	0.39859	2.96767	4.18		0.14635363462215	
Black	Dot	322	0.03558	0.40056	2.67284	4.14		0.107167441954848	
Black	Dot	323	0.03542	0.40276	2.38127	4.05		0.0179812492875454	
Black	Dot	324	0.0352	0.40511	2.09101	3.88		-0.151204943379757	
Black	Dot	325	0.03498	0.40756	1.79857	4.24		0.209608863952941	
Black	Dot	326	0.03473	0.41004	1.51022	4.25		0.220422671285638	
Black	Dot	327	0.03445	0.41248	1.22205	4.13		0.101236478618336	
