Freq	Power	Theor.AR(1)	chi2 80%	chi2 90%	chi2 95%	chi2 99%	chi2 crit.
30.552	0.0006878	0.00032122	0.00049359	0.00065901	0.00081907	0.001179	0.0017427
30.675	0.00039266	0.00031886	0.00048997	0.00065417	0.00081306	0.0011704	0.0017299
30.797	0.00031957	0.00031653	0.00048638	0.00064939	0.00080711	0.0011618	0.0017172
30.919	6.0405E-05	0.00031422	0.00048284	0.00064466	0.00080123	0.0011533	0.0017047
31.041	0.00022165	0.00031194	0.00047933	0.00063998	0.00079542	0.001145	0.0016924
31.163	0.0001066	0.00030969	0.00047587	0.00063535	0.00078967	0.0011367	0.0016801
31.286	5.8457E-05	0.00030746	0.00047244	0.00063077	0.00078398	0.0011285	0.001668
31.408	8.6957E-05	0.00030525	0.00046905	0.00062625	0.00077835	0.0011204	0.001656
31.53	0.00031019	0.00030307	0.0004657	0.00062177	0.00077279	0.0011124	0.0016442
31.652	0.00062789	0.00030091	0.00046238	0.00061734	0.00076728	0.0011045	0.0016325
31.774	0.00022234	0.00029877	0.0004591	0.00061296	0.00076184	0.0010966	0.0016209
31.897	0.00048665	0.00029666	0.00045585	0.00060863	0.00075645	0.0010889	0.0016095
32.019	0.00039849	0.00029457	0.00045264	0.00060434	0.00075113	0.0010812	0.0015981
32.141	0.00031157	0.0002925	0.00044947	0.0006001	0.00074585	0.0010736	0.0015869
32.263	0.00046088	0.00029046	0.00044632	0.00059591	0.00074064	0.0010661	0.0015758
32.386	0.00021216	0.00028844	0.00044321	0.00059175	0.00073548	0.0010587	0.0015648
32.508	0.0002888	0.00028643	0.00044014	0.00058765	0.00073038	0.0010513	0.001554
32.63	0.00041967	0.00028445	0.00043709	0.00058358	0.00072533	0.0010441	0.0015432
32.752	0.0003277	0.00028249	0.00043408	0.00057956	0.00072033	0.0010369	0.0015326
32.874	0.00029862	0.00028056	0.0004311	0.00057559	0.00071538	0.0010298	0.0015221
32.997	0.000181	0.00027864	0.00042816	0.00057165	0.00071049	0.0010227	0.0015117
33.119	0.00038504	0.00027674	0.00042524	0.00056775	0.00070565	0.0010158	0.0015014
33.241	0.00020917	0.00027486	0.00042235	0.0005639	0.00070086	0.0010089	0.0014912
33.363	0.00055727	0.000273	0.00041949	0.00056008	0.00069612	0.001002	0.0014811
33.485	0.00095655	0.00027116	0.00041667	0.00055631	0.00069143	0.00099528	0.0014711
33.608	0.00048193	0.00026934	0.00041387	0.00055257	0.00068678	0.00098859	0.0014612
33.73	0.00024086	0.00026754	0.0004111	0.00054887	0.00068219	0.00098198	0.0014514
33.852	0.00031178	0.00026575	0.00040836	0.00054521	0.00067764	0.00097543	0.0014418
33.974	0.00074182	0.00026399	0.00040564	0.00054159	0.00067313	0.00096895	0.0014322
34.096	0.00037998	0.00026224	0.00040296	0.00053801	0.00066868	0.00096253	0.0014227
34.219	0.00025357	0.00026051	0.0004003	0.00053446	0.00066427	0.00095618	0.0014133
34.341	0.00010546	0.0002588	0.00039767	0.00053094	0.0006599	0.0009499	0.001404
34.463	0.00046042	0.0002571	0.00039506	0.00052746	0.00065558	0.00094367	0.0013948
34.585	0.00038065	0.00025542	0.00039248	0.00052402	0.0006513	0.00093751	0.0013857
34.708	0.00016374	0.00025376	0.00038993	0.00052061	0.00064706	0.00093141	0.0013767
34.83	0.00065864	0.00025211	0.0003874	0.00051724	0.00064286	0.00092538	0.0013678
34.952	0.00057594	0.00025049	0.0003849	0.0005139	0.00063871	0.0009194	0.0013589
35.074	0.00031292	0.00024887	0.00038242	0.00051059	0.0006346	0.00091348	0.0013502
35.196	0.00019847	0.00024728	0.00037997	0.00050731	0.00063053	0.00090762	0.0013415
35.319	0.00019363	0.0002457	0.00037754	0.00050407	0.0006265	0.00090182	0.001333
35.441	0.00029297	0.00024413	0.00037513	0.00050086	0.00062251	0.00089607	0.0013245
35.563	0.00024222	0.00024258	0.00037275	0.00049768	0.00061856	0.00089039	0.0013161
35.685	0.00013457	0.00024105	0.0003704	0.00049453	0.00061464	0.00088475	0.0013077
35.807	0.0001509	0.00023953	0.00036806	0.00049141	0.00061077	0.00087918	0.0012995
35.93	0.00024179	0.00023802	0.00036575	0.00048833	0.00060693	0.00087365	0.0012913
36.052	0.00039048	0.00023653	0.00036346	0.00048527	0.00060313	0.00086818	0.0012832
36.174	0.00011415	0.00023506	0.00036119	0.00048224	0.00059937	0.00086276	0.0012752
36.296	0.0001516	0.00023359	0.00035894	0.00047924	0.00059564	0.0008574	0.0012673
36.418	0.00022299	0.00023215	0.00035672	0.00047627	0.00059195	0.00085208	0.0012594
36.541	0.0001024	0.00023071	0.00035452	0.00047333	0.00058829	0.00084682	0.0012517
36.663	4.438E-05	0.00022929	0.00035233	0.00047042	0.00058467	0.00084161	0.001244
36.785	0.00015963	0.00022789	0.00035017	0.00046753	0.00058108	0.00083645	0.0012363
36.907	0.00025306	0.00022649	0.00034803	0.00046467	0.00057753	0.00083133	0.0012288
37.029	0.00066551	0.00022511	0.00034591	0.00046184	0.00057401	0.00082627	0.0012213
37.152	0.00058914	0.00022375	0.00034381	0.00045903	0.00057053	0.00082125	0.0012139
