#Age (Myr)	d18O(‰)
2.852	3.51
2.855	3.56
2.858	3.54
2.861	3.45
2.864	3.33
2.867	3.28
2.87	3.26
2.873	3.23
2.876	3.26
2.879	3.26
2.882	3.38
2.885	3.58
2.888	3.66
2.891	3.62
2.894	3.49
2.897	3.41
2.9	3.34
2.903	3.3
2.906	3.27
2.909	3.23
2.912	3.38
2.915	3.37
2.918	3.33
2.921	3.29
2.924	3.28
2.927	3.44
2.93	3.5
2.933	3.57
2.936	3.61
2.939	3.42
2.942	3.23
2.945	3.17
2.948	2.96
2.951	3.02
2.954	3.07
2.957	3.21
2.96	3.26
2.963	3.18
2.966	3.17
2.969	3.35
2.972	3.28
2.975	3.41
2.978	3.42
2.981	3.27
2.984	3.13
2.987	2.9
2.99	2.98
2.993	2.9
2.996	2.99
2.999	3.08
3.002	3.22
3.005	3.34
3.008	3.4
3.011	3.43
3.014	3.56
3.017	3.5
3.02	3.42
3.023	3.35
3.026	3.39
3.029	3.37
3.032	3.26
3.035	3.09
3.038	2.96
3.041	3.01
3.044	3.02
3.047	3.12
3.05	3.18
3.053	3.3
3.056	3.3
3.059	3.37
3.062	3.08
3.065	3.07
3.068	3
3.071	2.99
3.074	2.94
3.077	2.99
3.08	3.02
3.083	3.13
3.086	3.21
3.089	3.22
3.092	3.28
3.095	3.21
3.098	3.3
3.101	3.12
3.104	3.02
3.107	3.19
3.11	3.12
3.113	3.32
3.116	3.15
3.119	3.33
3.122	3.28
3.125	3.52
3.128	3.25
3.131	3.26
3.134	3.49
3.137	3.53
3.14	3.68
3.143	3.73
3.146	3.65
3.149	3.42
3.152	3.41
3.155	3.24
3.158	3.17
3.161	3.09
3.164	3.17
3.167	3.21
3.17	3.2
3.173	3.31
3.176	3.34
3.179	3.32
3.182	3.31
3.185	3.45
3.188	3.4
3.191	3.32
3.194	3.15
3.197	3.07
3.2	3.06
3.203	3.04
3.206	3.1
3.209	3.22
3.212	3.21
3.215	3.1
3.224	3.33
3.227	3.3
3.23	3.1
3.233	3.25
3.236	3.19
3.239	3.11
3.242	3.14
3.245	3.2
3.248	3.19
3.251	3.11
3.254	3.12
3.257	3.15
3.26	3.1
3.263	3.16
3.266	3.16
3.269	3.17
3.272	3.2
3.275	3
3.278	3.04
3.281	3.1
3.284	2.97
3.287	3.07
3.29	3.09
3.293	3.02
3.296	3.07
3.299	3.14
3.302	3.23
3.305	3.61
3.308	3.75
3.311	3.57
3.314	3.58
3.317	3.75
3.32	3.57
3.323	3.47
3.326	3.38
3.329	3.39
3.332	3.31
3.335	3.36
3.338	3.5
3.341	3.73
3.344	3.72
3.347	3.61
3.35	3.62
3.353	3.53
3.356	3.5
3.359	3.41
3.362	3.45
3.365	3.32
3.368	3.21
3.371	3.16
3.374	3.16
3.377	3.18
3.38	3.16
3.383	3.19
3.386	3.18
3.389	3.16
3.392	3.38
3.395	3.32
3.398	3.24
3.401	3.22
3.404	3.22
3.407	3.02
3.41	2.97
